Designator,Mid X,Mid Y,Rotation,Layer
C1,137.922,-74.168,90.0,top
C2,137.922,-78.486,270.0,top
C3,125.984,-71.12,90.0,top
C4,121.158,-81.6345,90.0,top
C5,128.27,-76.2,90.0,top
C6,124.206,-71.12,270.0,top
D1,147.066,-76.2,270.0,top
J1,102.421,-76.296,270.0,top
J2,113.309,-76.21,0.0,top
J3,109.499,-76.19,0.0,top
J4,129.65,-85.344,180.0,top
J5,129.65,-67.056,180.0,top
J6,136.976,-65.118,90.0,top
J7,136.976,-85.618,90.0,top
J8,129.65,-64.516,0.0,top
J9,129.65,-87.884,0.0,top
R1,134.366,-76.2,90.0,top
R10,130.81,-74.422,90.0,top
R11,138.954,-81.788,180.0,top
R12,149.352,-76.2,90.0,top
R13,119.888,-71.12,270.0,top
R14,143.002,-81.788,180.0,top
R15,122.174,-71.12,90.0,top
R16,116.84,-71.12,90.0,top
R2,124.968,-81.6345,270.0,top
R3,128.27,-80.01,90.0,top
R4,128.27,-72.136,270.0,top
R5,116.84,-81.534,270.0,top
R6,105.467,-82.646,180.0,top
R7,105.467,-69.946,180.0,top
R8,138.7,-70.612,0.0,top
R9,142.748,-70.612,180.0,top
U1,140.97,-76.2,180.0,top
U3,123.19,-76.2,90.0,top
